config,n_features,accuracy,f1_macro,mcc
1. Raw LOB (baseline),40,0.6205172279084303,0.49781511347902113,0.3782267547317812
2. Preprocessed LOB (wavelet),40,0.624475870510717,0.5034656216066664,0.38521966848898886
3. Engineered Features Only,38,0.6332786415605386,0.531488139685247,0.4006016315951247
4. Raw + Engineered,78,0.6886735942912207,0.6008563537825939,0.496608657641494
5. Preprocessed + Engineered,78,0.6844024272729641,0.598773350705735,0.4888726942624859
