preprocess,model,depth,horizon_ms,accuracy,f1_macro,f1_weighted,mcc,precision,recall,training_time,inference_time_ms,n_samples,f1_class_0,f1_class_1,f1_class_2
ma,xgboost,20,500,0.7508754377188595,0.5046755376906524,0.7448075785244067,0.5114630737718353,0.5008329629051184,0.5096768837206889,0.08665108680725098,0.00036365094931498955,1999,0.7626112759643917,0.0,0.7514153371075656
ma,xgboost,20,1000,0.6516516516516516,0.4355154474099228,0.6500881610566378,0.3079016361701099,0.43478156252349803,0.43701985486582534,0.08399105072021484,0.00036884475876022507,1998,0.655688622754491,0.0,0.6508577194752775
ma,xgboost,20,5000,0.5206030150753769,0.2731928197940812,0.4248617352299745,-0.012668587052833743,0.3254271721666049,0.33083126077186553,0.0799717903137207,0.0003778754766262955,1990,0.6657323055360898,0.0,0.15384615384615385
ma,xgboost,20,10000,0.5782828282828283,0.33618184725987144,0.5235302658526325,0.11703917299068643,0.3850948187822543,0.36269853652447964,0.08097720146179199,0.00035618290756687975,1980,0.6962531829756275,0.0,0.3122923588039867
ma,xgboost,40,100,0.803,0.5516843605557257,0.7780549771555686,0.6319819112698066,0.5348815862248751,0.5696822229091659,0.08801817893981934,0.00036215782165527344,2000,0.838836865450961,0.0,0.8162162162162162
ma,xgboost,40,500,0.753376688344172,0.5063832740033599,0.7472873888222107,0.5169974235119582,0.5027461356803345,0.5115390270015965,0.08716201782226562,0.00036317387361893837,1999,0.76441351888668,0.0,0.7547363031233999
ma,xgboost,40,1000,0.6671671671671672,0.4458590364316894,0.6653193302979045,0.3408635136705481,0.44608040443721725,0.4478895485896827,0.0894918441772461,0.000383402850176837,1998,0.6653082017320427,0.0,0.6722689075630253
ma,xgboost,40,5000,0.5261306532663317,0.27497697047749364,0.42770203139331653,0.004721921754032925,0.3353528560719871,0.3342591683574405,0.08210110664367676,0.0003674521518113026,1990,0.6710847575863271,0.0,0.15384615384615385
ma,xgboost,40,10000,0.5702020202020202,0.3252890401149056,0.508743733341192,0.09438983381928247,0.3765265596778098,0.35617270467334433,0.08068084716796875,0.0003600361371281171,1980,0.6935541951746489,0.0,0.282312925170068
ma,catboost,5,100,0.8045,0.5527774255612585,0.7795009517837489,0.6348889359162802,0.5359281786855564,0.5708493956916513,0.4565091133117676,0.008477449417114258,2000,0.8386778490379871,0.0,0.8196544276457883
ma,catboost,5,500,0.7463731865932967,0.5017094343303267,0.7403136475302265,0.5043276011187374,0.49857167682600795,0.5070661470792233,0.43935370445251465,0.007569163724623542,1999,0.755889724310777,0.0,0.749238578680203
